EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
3 4838 213 1 3
6 2575 210 1 2
8 2174 210 1 2
5 2219 208 1 2
4 1796 211 1 2
4 1982 208 1 2
3 5051 212 1 3
5 21134 228 1 6
4 2164 211 1 2
4 2409 212 1 3
4 1904 209 1 2
9 22087 248 1 7
4 2336 211 1 3
11 20565 249 1 5
3 2276 214 1 2
10 3384 214 1 2
8 20668 251 1 5
3 3454 216 2 4
8 2977 211 1 2
3 2228 211 1 2
3 3024 214 1 2
