EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
5 12080 203 1 2
5 2235 196 1 3
4 2174 201 1 2
4 2180 199 1 2
4 2214 203 1 2
5 6241 197 1 2
5 13429 211 1 2
6 5785 219 1 4
8 16010 226 1 2
6 2803 206 1 3
5 5501 208 1 2
4 10320 217 1 3
98 88106 272 1 174
5 63034 268 1 3
36 146914 285 2 105
37 144862 269 1 96
8 27166 228 1 9
5 21575 223 1 8
5 21544 225 1 7
4 21553 226 3 7
4 2716 206 1 2
5 21695 209 1 9
9 34327 226 1 23
20 75854 257 1 49
3 3777 207 1 3
25 94610 263 1 77
28 96469 264 1 75
5 4496 212 1 2
4 2263 209 1 3
8 26745 229 1 11
12 47735 252 1 24
4 22508 227 1 5
4 9993 209 1 3
3 2845 209 1 3
34 70030 262 1 81
39 112135 267 1 204
6 3644 213 1 2
4 4017 212 1 2
55 123341 294 2 223
6 5159 226 1 3
10 32757 235 1 13
7 6721 219 0 1
4 8852 212 1 3
4 4553 212 1 3
5 4477 241 1 3
33 69934 266 1 64
6 23971 237 1 8
4 2443 219 1 2
6 2470 212 1 4
4 2072 214 1 2
3 3775 213 1 2
3 2494 214 1 2
19 34581 246 1 25
4 2948 215 1 3
3 2832 213 1 3
11 41025 260 1 18
10 28103 248 1 11
5 27694 249 1 9
7 2355 215 1 2
5 1966 214 1 2
5 2882 211 1 2
18 26595 241 1 20
7 3702 213 2 3
4 2652 211 1 2
2 2810 213 1 2
9 25208 241 1 8
5 23444 243 1 6
12 24880 238 1 20
6 2588 217 1 3
5 22329 234 1 8
5 3009 217 2 3
5 2137 215 1 2
4 2988 215 1 3
5 1854 213 1 2
12 22337 240 1 13
5 2062 217 1 2
3 2501 213 1 2
3 2095 212 1 2
9 2552 214 1 3
4 2596 212 1 3
14 25832 241 1 15
4 6602 217 1 3
10 34999 252 1 20
7 2688 214 1 3
6 22141 240 1 7
5 1967 214 1 1
5 1838 216 1 1
13 22231 245 1 20
5 1715 213 0 1
5 22606 245 1 8
6 21916 251 1 11
6 22024 246 1 8
12 21972 245 1 13
6 3706 219 1 3
3 1573 216 0 1
4 1916 214 1 2
4 2192 213 1 2
3 1511 216 0 1
3 2583 226 1 3
3 2700 224 1 2
4 1667 223 0 1
6 2006 226 1 2
4 1783 237 1 1
7 2684 227 1 2
5 2440 226 1 3
6 2225 226 1 2
6 2242 223 1 2
6 2503 225 1 3
4 3074 224 1 4
4 2677 224 1 3
3 3351 227 2 3
4 3177 223 1 3
3 2140 223 1 2
5 2119 223 1 2
6 2846 223 1 2
5 2224 225 1 2
4 27156 281 2 7
7 2532 217 1 3
5 5522 226 2 6
10 3155 219 1 3
5 2895 216 1 3
4 24717 278 1 8
6 3394 230 1 4
5 4574 233 2 5
5 3377 229 1 3
85 221508 304 1 231
81 220171 293 2 225
93 248037 292 2 722
10 41885 261 1 20
4 9078 222 1 4
4 6015 217 1 3
8 37341 300 1 17
9 40384 308 1 19
8 37596 299 1 15
8 38237 304 2 17
8 35109 299 2 12
106 261461 294 17 284
5 2308 223 1 2
5 2252 218 1 2
4 2339 216 1 2
4 1915 220 1 2
4 2026 218 1 2
3 2161 218 1 2
17 21847 237 13 15
18 70241 286 1 27
11 39927 275 2 20
7 41954 271 1 11
9 2283 224 1 2
9 20890 244 17 10
5 2459 218 1 3
4 2648 217 1 2
4 1945 218 1 2
4 1924 222 1 2
120 241017 322 36 370
8 3384 246 12 3
9 23561 310 20 10
6 2838 232 10 3
5 2199 232 1 3
6 2143 229 1 2
6 2570 232 1 3
5 2782 240 1 4
5 2304 243 13 3
6 3352 264 2 4
4 3114 236 12 2
33 172326 343 22 89
10 3414 269 16 3
6 2685 231 11 3
14 37233 345 23 23
11 3432 245 12 4
7 2769 236 1 3
7 2789 244 1 3
7 4395 291 1 4
6 5047 289 34 7
8 3152 241 1 3
45 47713 329 27 50
6 28215 354 2 10
7 5139 241 19 4
12 2872 232 1 3
62 105272 320 26 150
6 8107 279 1 4
5 4982 252 1 4
7 3010 250 1 4
7 3593 263 1 5
8 2068 236 1 2
7 2082 233 1 2
6 2465 232 1 3
6 2445 237 1 3
8 3468 893 1 3
9 5834 320 2 5
8 2366 240 1 2
7 2123 237 1 2
7 2963 254 1 4
10 2778 325 1 3
7 2333 234 1 2
8 2313 255 1 2
7 2122 226 1 2
7 2082 223 1 2
8 3297 235 1 5
3 2384 342 23 3
4 2871 228 12 2
3 5053 225 10 4
3 2335 228 10 3
5 31992 315 1 14
4 3006 238 1 3
52 25510 247 21 47
6 4944 236 1 3
5 4293 226 1 2
8 21499 235 16 12
4 17653 225 1 7
5 14795 221 1 3
29 117219 304 19 81
4 4616 231 12 2
4 4672 221 12 3
4 4860 219 10 4
7 32101 261 1 13
6 2922 224 13 9
4 2219 223 10 3
3 2336 222 10 2
6 2475 222 1 3
5 2853 223 1 3
5 5378 223 1 2
4 4636 220 1 3
30 106176 307 17 78
10 37798 271 1 14
7 32538 277 1 13
10 32847 278 1 13
7 30273 275 1 11
13 30286 289 1 11
5 27336 278 1 8
6 27642 274 1 8
4 23494 270 1 8
4 23351 258 1 6
5 2597 226 1 3
4 1872 223 1 2
4 1991 225 1 3
4 2279 223 1 3
4 1865 226 1 2
4 1866 222 1 2
3 3412 224 1 2
3 1928 224 1 2
4 1920 225 1 2
4 2232 223 1 2
5 2939 223 1 3
4 2175 227 1 4
4 2516 225 1 2
4 3264 226 1 2
4 1853 223 1 5
4 2169 224 1 2
4 2867 225 1 2
6 2953 224 1 2
5 2191 225 1 3
6 2880 224 1 1
11 1855 223 1 3
5 2895 228 1 3
8 42888 330 1 18
6 25658 257 1 7
5 23606 271 1 7
6 27317 281 1 8
5 24746 277 1 7
4 2645 227 1 3
3 2450 224 1 2
4 24800 274 1 6
5 24125 289 1 6
5 2607 228 1 2
8 37684 296 1 15
5 24894 268 1 6
4 24104 273 1 6
4 2816 229 1 3
4 2482 226 1 2
2 24567 274 1 4
4 24331 273 1 7
4 2378 228 1 2
3 1982 223 1 2
3 2325 224 1 2
4 24972 270 1 8
6 23694 277 1 9
6 1986 230 1 2
8 24115 279 1 7
11 2739 229 1 3
5 24656 281 1 10
6 2763 233 1 3
4 1871 226 1 2
5 2137 225 1 2
4 2625 226 1 2
4 26079 271 2 7
326 374830 342 30 4467
5 51987 332 2 5
4 13587 266 1 3
9 24924 308 24 13
4 4069 244 1 3
4 3197 242 1 2
4 26479 325 1 8
6 22542 323 2 8
6 3623 248 1 2
47 61707 318 1 118
273 365824 326 19 2626
12 2604 243 1 2
6 2453 234 1 2
7 22853 252 1 10
9 2349 233 1 2
4 19186 260 1 6
4 2611 233 1 2
3 12032 232 1 2
6 2689 233 1 3
6 19270 255 1 7
6 19541 259 1 9
4 3229 233 1 3
9 22416 273 1 14
5 18846 266 2 7
13 23917 282 1 12
9 2854 237 1 3
5 2695 234 1 4
3 2824 234 1 3
4 2505 232 1 2
4 30227 297 1 7
301 321011 329 39 1697
7 30799 338 20 8
7 21672 307 18 10
5 19795 361 62 10
18 28512 353 26 24
8 20454 355 23 9
6 2980 259 1 4
5 3696 249 1 6
4 15942 343 1 4
6 50505 393 1 4
8 55898 343 1 5
5 11384 253 1 3
8 9811 274 1 3
275 319506 334 26 835
11 3956 248 1 2
19 30543 280 21 27
46 49337 315 32 70
6 3046 250 1 2
12 18555 335 15 10
231 226796 364 32 683
8 27268 377 24 8
8 27973 367 24 10
11 20490 328 21 13
7 2727 273 1 2
4 2438 249 1 7
5 11099 265 1 2
5 2767 250 1 3
3 3670 249 1 2
4 4793 250 1 4
4 4875 252 1 3
5 10440 270 1 3
10 20609 362 24 14
104 111788 405 28 219
26 24527 324 23 17
8 19772 327 19 9
11 22657 323 23 13
7 3380 268 1 4
8 21017 359 24 12
8 4549 265 1 3
10 30509 386 26 13
6 3246 272 1 5
7 8772 285 2 8
5 9669 273 25 4
6 2614 252 1 3
31 26956 348 25 28
10 32446 359 26 16
6 2571 260 13 3
4 2995 250 11 3
5 23307 341 23 7
8 20572 302 17 12
7 20202 334 22 9
6 2485 254 1 2
5 3098 253 3 3
10 13707 314 2 4
6 4965 256 1 3
7 3174 251 1 2
5 2850 250 1 3
4 2876 256 1 2
5 3397 267 1 2
5 2999 265 1 3
5 2178 260 1 2
6 21973 372 26 9
8 3413 265 1 4
9 24677 379 25 13
9 3830 262 2 5
8 2552 256 1 3
7 2510 251 1 2
15 20634 279 21 9
