EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
3 744 105 1 1
3 742 105 1 1
3 752 105 1 1
3 752 105 1 1
3 740 106 1 1
3 744 106 1 1
3 778 105 1 1
3 755 105 1 2
4 758 106 1 1
3 725 106 1 1
3 759 105 1 1
3 751 109 1 1
3 644 109 1 1
3 780 110 1 1
3 764 105 1 1
3 737 104 1 1
3 746 105 1 3
3 777 117 1 1
3 767 105 1 1
3 744 106 1 1
3 739 106 1 1
3 755 126 1 1
3 761 105 1 1
3 758 106 1 1
3 749 105 1 1
3 770 107 1 1
3 764 108 1 1
3 740 106 1 1
3 761 106 1 1
3 729 107 1 1
3 643 106 1 1
3 772 106 1 1
3 753 106 1 1
3 763 133 1 1
3 808 107 1 1
3 755 106 1 1
3 773 107 1 1
3 752 107 1 1
3 773 106 1 1
3 806 109 1 1
7 1757 115 3 6
3 817 107 1 2
6 742 107 1 1
6 749 106 1 1
3 742 106 1 1
3 763 107 1 1
3 761 107 1 1
3 748 111 1 1
3 760 107 1 1
3 738 108 1 1
3 789 107 1 1
3 775 122 1 1
3 745 107 1 1
3 768 109 1 1
3 753 107 1 1
3 750 111 1 1
3 764 108 1 3
3 748 108 1 1
3 772 106 1 1
4 752 108 1 1
3 775 131 1 1
3 807 108 1 1
3 767 107 1 1
3 744 108 1 1
3 742 109 1 1
3 815 111 1 1
3 775 108 1 1
3 761 108 1 1
3 757 108 1 1
3 790 133 1 1
3 765 108 1 1
3 757 108 1 1
3 762 108 1 1
3 743 115 1 1
3 768 109 1 1
3 757 107 1 1
3 780 107 1 1
3 759 108 1 1
3 747 134 1 1
3 761 109 1 1
3 804 109 1 1
3 760 108 1 1
3 741 109 1 1
3 754 109 1 1
3 772 110 1 1
3 760 112 1 1
3 766 108 1 1
3 752 127 1 1
3 635 108 0 1
90 588 108 0 1
4 745 109 1 3
4 626 108 0 1
4 759 109 1 5
5 632 107 0 1
3 624 109 1 1
3 707 111 1 1
4 856 108 1 2
4 662 108 0 1
4 652 108 1 1
4 645 109 1 1
4 640 108 1 1
3 635 108 1 1
4 645 112 0 1
4 644 109 1 1
3 663 109 1 1
4 667 109 1 1
4 673 108 1 1
4 650 108 1 1
3 920 109 1 2
4 652 109 1 1
4 631 108 1 1
4 643 109 1 1
4 653 109 0 1
4 647 109 1 1
4 636 108 0 1
3 644 108 1 1
4 640 108 0 1
3 778 136 1 10
3 636 108 1 1
3 637 108 1 1
4 633 109 0 1
3 626 109 1 1
3 642 109 1 1
3 785 109 1 2
3 640 109 0 1
3 641 109 1 1
4 630 108 1 1
3 664 110 1 1
4 688 109 1 1
4 653 108 1 1
4 648 109 1 1
4 679 109 1 1
3 1247 110 2 3
3 658 110 1 1
4 632 108 0 1
5 634 109 1 1
4 633 109 1 1
3 669 109 1 1
4 640 108 0 1
3 678 108 1 1
3 638 108 0 1
3 643 109 0 1
3 635 109 0 1
3 635 109 0 1
3 643 109 0 1
4 636 110 1 1
4 631 109 0 1
3 642 108 1 1
4 664 109 0 1
4 674 112 1 1
4 645 110 1 1
3 623 109 1 1
