RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
49122 2276 2384 33940 1406
51976 2389 2894 36243 1488
44925 5019 2431 29830 1275
51942 2596 2665 33828 1353
46068 2218 2222 34800 1581
49202 2135 2407 32337 1602
45302 2761 2262 29801 1296
40866 5452 2241 32374 1313
52125 3553 2492 36120 1892
50323 2412 2160 32960 1274
51413 4267 2557 34995 1578
49980 3730 2599 33282 1585
44155 4000 2529 35472 1271
51443 3922 2562 33312 1557
45758 2233 2144 34288 1554
52061 4270 2554 34601 1609
51722 2741 2611 33558 1401
48188 2299 2484 33800 1475
50859 5468 2643 33955 1458
47975 4448 2673 32558 1401
53331 3231 2717 35589 1559
45058 5808 2489 33394 1602
50131 3338 2679 34800 1567
52117 2412 2488 28924 1397
49216 2485 2664 33458 1452
53257 4035 2417 37333 1428
52484 2135 2698 29459 1588
43519 4891 2559 33730 1411
48952 3836 2493 32645 1401
48202 2465 2521 34506 1576
52935 4858 2754 33007 1394
48623 2978 2206 32789 1539
47071 5989 2390 33690 1447
44605 2248 2459 34408 1456
45550 2484 2278 29790 1325
54403 4753 2410 33868 1318
44123 2611 2513 37407 1317
49147 4538 2706 32907 1382
48301 3308 2420 33045 1568
50697 2682 2612 34742 1469
48981 3849 2285 32307 1556
50617 3263 2597 35535 1517
52954 4632 2699 33389 1420
45212 3223 2256 33350 1385
53919 2547 2663 35407 1598
53193 3849 2552 31127 1591
50827 4076 2472 30185 1293
52912 3586 2571 34180 1570
48900 2624 2672 35842 1519
52987 2767 2697 33451 1615
52578 2131 2555 34492 1618
54624 6697 2748 35735 1556
51637 4508 2404 30993 1460
48525 3883 2662 36602 1569
52003 4854 2337 33061 1401
47920 4004 2688 33237 1379
51256 4340 2586 35512 1522
48495 4623 2402 32676 1560
45192 4198 2620 34554 1376
48221 3813 2179 33171 1591
48734 3114 2870 35753 1329
47873 2409 2322 32794 1674
48451 4518 2385 32034 1399
49547 2613 2647 35613 1540
48236 4052 2386 32836 1481
48066 6044 2501 34256 1395
51881 5099 3915 34278 1514
48133 2567 2724 34056 1405
45872 2267 2369 33360 1579
49715 3834 2200 32383 1341
51024 2602 2692 35808 1479
49085 2367 2690 34190 1581
50157 5869 2550 35273 1437
47874 4289 2764 34809 1523
45835 4142 2675 33633 1600
53183 2352 2636 35101 1452
