EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
139 81295 174 3
5 80718 176 3
1 80691 172 3
8 81069 176 3
5 81398 215 4
13 82487 182 3
43 81882 181 4
7 86962 194 3
1 87410 196 4
9 88159 201 5
10 92109 188 5
7 92864 257 3
6 97267 198 3
2 94443 193 5
1 90234 194 5
2 83274 183 5
1 82508 185 3
349 83693 188 8
17 83706 187 5
11 84498 194 4
1 87197 187 3
2 85018 184 3
7 82135 189 2
2 84216 187 3
1 82994 183 3
2 82593 181 3
8 81052 177 2
1 80648 176 3
1 82160 176 5
9 81000 174 3
1045 82278 186 7
1 91752 181 3
10 81370 174 3
6 80726 173 2
7 80563 171 2
6 80788 169 2
5 80627 172 2
4 80449 169 2
6 80477 169 2
9 80453 170 2
5 80404 172 1
0 80712 172 2
0 87264 187 3
2 86190 192 3
2 87080 178 3
1 88507 192 3
1 85486 174 3
12 81566 172 3
1 80800 173 2
1 80994 178 2
1 86246 177 3
10 82957 177 3
2 81055 179 2
1 80503 172 2
9 80566 172 2
0 83323 181 3
2 84750 190 4
14 91575 189 4
16 89503 194 6
2 88555 190 3
7 86641 185 3
16 86314 179 3
19 83641 177 3
6 84415 181 3
12 85340 181 3
10 82058 174 2
1 80864 170 8
1 80675 170 2
1 81110 175 2
6 80897 168 2
5 81019 173 2
6 80813 170 2
4 80421 168 1
8 80692 169 2
0 80630 170 2
0 86056 184 3
1 99657 182 3
1 85902 198 3
2 83911 182 3
12 82396 171 2
1 80663 173 2
0 81019 175 3
1 80627 170 2
9 80669 172 2
10 80607 171 2
0 80612 167 2
5 80919 173 2
0 80940 167 2
10 80740 169 2
4 80820 170 2
0 80707 172 1
25 80799 167 3
7 84409 179 2
21 83851 173 2
9 83023 172 2
40 81903 174 2
7 82179 173 4
1 83662 171 3
1 83557 172 4
9 81984 176 3
1 80742 170 3
1 85996 176 3
1 81872 170 2
1 81148 175 4
1 86278 197 9
7 82684 171 3
7 80611 170 3
1 81237 171 5
1 82333 170 3
8 81948 175 4
1 83946 172 3
1 81827 169 3
11 81475 172 3
1 81169 168 3
1 81199 170 3
1 80582 164 3
8 81975 172 3
1 80809 168 2
1 80749 167 4
0 80622 169 2
0 80679 165 2
1 81118 168 2
1 80645 168 2
1 81510 191 3
0 80936 170 2
6 80906 168 2
0 81626 174 3
1 82714 190 3
1 84631 190 3
2 85435 176 3
1 84661 175 4
2 81896 171 4
1 81210 170 2
32 80986 169 2
1 80639 166 2
1 80655 168 2
5 80898 167 2
1 81184 174 4
1 82109 173 4
2 81281 166 3
7 80928 169 3
1 85072 181 3
10 86062 179 4
1 85668 178 3
1 86269 196 3
1 87472 186 3
1 85038 176 4
14 88074 185 5
9 85279 171 4
1 81364 170 3
1 80988 168 3
1 81393 171 3
37 80887 167 3
1 80485 166 2
1 83133 185 3
1 86959 176 6
61 81877 172 5
8 80832 170 3
8 80798 167 2
7 80580 169 2
205 80936 170 3
9 80712 168 2
7 80567 169 2
10 80669 169 2
173 81870 173 3
1 83842 174 3
1 83484 169 2
15 81085 169 2
6 80947 167 3
6 80694 165 2
0 80991 165 2
0 80739 166 2
4 81089 167 2
18 80546 165 1
20 80721 165 2
0 80736 165 2
4 80660 166 2
6 80577 166 13
5 80818 165 3
0 80671 168 4
0 80921 166 3
28 80920 168 3
0 80916 169 2
11 80343 165 2
0 80582 164 2
0 80319 166 2
0 80970 166 2
1 80675 168 2
1 80582 166 4
1 80181 166 2
6 80606 165 2
204 80422 171 2
1 80488 167 2
0 80749 171 3
1 80765 168 2
0 80415 167 4
5 80628 168 3
1 80624 166 2
6 80687 167 2
0 80862 167 4
1 80984 168 2
1 81906 177 3
1 84400 172 3
9 83022 170 3
18 80817 165 2
1 80900 166 2
19 80905 167 3
5 80575 164 2
20 80552 169 2
1 80679 168 2
4 80762 166 1
11 81052 164 2
17 82682 168 3
1776 84240 166 3
55 83371 168 5
1 82671 162 3
6 81301 163 3
1 81068 163 2
18 81386 163 3
0 81097 166 2
1 80604 160 2
21 80916 160 2
2960 80693 153 2
1 80793 156 2
19 82682 160 3
37 83087 157 3
1097 82413 168 3
84 82891 156 3
3682 82716 153 3
1047 82620 171 3
257 82630 152 3
2175 81918 152 2
14 83501 153 3
6 83577 159 4
2 82778 151 14
9 81126 144 2
7 81152 144 2
1 81310 146 3
6 84196 148 3
9 84655 152 3
5 83815 150 2
11 82506 147 4
2 82393 146 3
1 82313 147 4
1 83014 146 3
1 80944 143 3
1 81257 139 3
1 81865 147 3
1 83709 146 4
1 82530 146 4
1 81729 143 3
25 80743 148 3
1 82679 147 3
1 81276 141 2
1 80824 148 3
1 80775 143 2
0 80874 141 3
1 80862 169 2
0 80628 143 2
21 80609 138 3
0 80762 143 2
0 80729 141 2
1 81197 147 3
1 81207 141 3
1 80873 141 3
1 80676 142 2
0 80991 142 3
1 81053 141 2
0 82957 149 4
1 81831 145 3
2 82817 146 3
25 81034 143 3
1 81077 143 2
1 81671 146 3
1 81519 147 2
1 84159 148 3
5 83930 146 4
0 81373 144 3
39 81365 147 3
1 81363 140 4
1 80852 141 2
11 80681 141 2
0 80636 139 2
16 80528 142 2
0 81354 144 3
1 81266 140 3
1 80749 142 3
1 80726 141 2
7 80882 143 2
1 80731 139 2
0 80527 141 2
6 80995 144 3
1 80601 141 3
697 80747 142 3
0 81486 142 4
8 84537 185 28
27 83015 146 4
11 81291 143 3
45 80629 139 2
151 80261 137 2
1 80985 139 3
1 80381 135 10
1 80456 137 2
1 81241 139 3
1 80567 134 3
12 81303 137 3
1 80466 139 2
1 83259 137 3
1 81169 136 3
2 80306 136 3
1 80657 135 2
1 82106 140 2
1 85096 152 5
2 83817 145 3
2 80801 137 3
1 80367 132 3
1 81579 138 3
1 80496 138 2
1 81408 138 3
1 80530 135 2
1 80592 133 2
1 80221 135 2
1 80609 139 2
19 81637 134 3
1 80659 137 2
1 81002 138 2
1 80651 131 2
0 80302 133 2
1 80589 134 3
1 80507 136 2
1 80630 135 2
20 82183 150 4
2 85368 141 5
1 81032 140 2
1 80599 136 2
0 80842 135 2
1 83227 152 3
1 86883 152 4
2 87590 146 4
1 87179 144 4
183 87399 152 5
7 87033 148 4
7 84548 150 3
8 83478 140 4
14 84494 142 4
34 80913 135 3
1 81448 135 3
1 82863 143 3
1 84461 136 3
1 84252 136 4
11 80685 137 3
10 80439 132 2
26 80542 132 2
26 80574 143 2
58 80590 131 2
14 80525 135 2
26 80429 134 3
2357 80406 132 2
16 81186 131 3
0 80696 133 2
0 80398 131 3
9 80606 130 3
0 80864 166 2
0 80801 132 2
1 80780 131 3
1 80394 136 2
1 80801 130 2
14 80913 130 3
0 80538 129 2
0 81323 133 2
0 80272 128 2
0 80458 131 2
0 80751 132 2
1 80441 131 2
1 80441 129 2
1 80501 130 1
1 80465 136 2
1 80443 133 2
0 80328 135 2
1 80397 130 1
0 80792 131 2
110 80674 130 3
0 80709 128 2
5 80535 128 2
0 80914 131 2
1 83928 143 3
152 84136 136 3
