EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
323 65885 186 2045
15 110517 732 342
50 195508 202 39
3 121091 611 8
2 101276 208 6
16 88355 193 29
1 71415 195 6
1 67425 195 5
2 67568 208 4
9 67160 184 27
1 66662 192 4
1 66742 189 4
9 69386 195 82
1055 66906 187 6587
1 69503 187 5
12 67260 182 39
7 66189 183 16
8 65775 184 24
11 65979 182 25
10 66254 183 24
6 66050 182 18
11 67009 184 38
14 67234 181 41
10 67339 195 28
1 69369 196 4
1 67287 183 3
3 66972 184 3
1 69299 207 5
2 74040 187 4
1 67288 186 3
7 67347 183 29
1 66643 182 2
1 65939 181 3
1 72572 197 3
11 69013 201 58
2 71645 188 4
1 66965 182 3
15 66534 183 70
1 66112 181 2
1 65819 179 3
11 65792 183 86
12 66130 192 99
1 70516 191 4
8 69905 194 34
16 73017 194 110
19 73753 193 173
7 73006 196 15
11 69782 202 30
12 80846 187 33
1 70945 205 4
2 72760 194 4
2 71137 201 3
9 70837 210 17
6 71164 195 12
8 70860 196 14
6 67753 191 14
16 67090 194 28
1 75448 203 7
3 105066 201 7
1 73583 195 5
1 68630 187 5
2 67361 184 3
10 66266 180 23
1 66123 181 3
1 68446 182 3
1 68800 199 5
12 67591 183 37
14 65906 179 50
1 65864 180 2
6 66358 186 22
1 65924 178 2
12 66215 178 65
5 68836 199 33
4 75546 358 11
56 73621 191 128
14 69854 181 23
24 66662 178 63
10 68361 179 19
42 67477 181 176
8 70771 188 43
1 69154 200 15
2 67997 186 5
16 66632 181 21
1 66232 185 3
0 65933 183 4
0 65944 179 3
1 68534 188 4
1 72796 219 8
9 82020 194 23
10 75263 193 21
2 72735 194 6
7 72090 191 5
12 67196 191 36
1 70231 193 6
1 68590 189 6
15 67276 181 39
6 67484 181 4
1 66886 180 5
1 65793 179 3
8 66012 178 28
0 66034 176 3
1 72866 202 7
1 73161 191 7
1 87964 191 6
2 76312 260 5
2 69811 190 5
2 70134 193 5
1 76202 626 65
74 79501 197 26
2 71257 221 7
1 69455 187 8
2 69790 190 5
2 66835 185 3
2 66277 176 3
2 66008 176 4
1 69432 194 6
42 68956 182 151
1 67758 192 5
2 67495 182 5
11 66338 181 23
2 66330 185 4
1 68052 192 5
2 68135 181 3
7 69251 196 44
1 67192 188 4
14 66272 178 49
1 65994 179 4
1 65881 178 4
1 65969 185 3
1 70162 196 9
17 103020 194 70
8 75138 191 34
3 75195 258 6
2 97981 202 10
2 84114 300 14
129 104999 197 179
4 84474 191 8
2 76948 185 4
1 75902 205 13
118 76444 183 387
11 69943 196 46
13 72504 193 36
11 74263 194 39
251 80714 192 2073
16 67483 182 42
10 66444 180 58
14 66790 177 84
184 66920 179 1722
1 72787 199 6
1 70032 189 5
21 68254 185 64
10 67689 183 41
8 68142 182 22
2 67586 179 3
1 65923 178 3
12 66115 178 19
22 68942 197 142
28 79069 181 151
1 67570 180 3
7 66945 180 23
9 68554 183 79
13 67487 186 45
1 68354 192 8
1 69073 190 8
40 68130 181 230
1 67060 179 3
12 66859 177 75
1 66619 177 5
1 66368 174 3
0 66222 185 4
1 69759 191 5
2 75967 198 10
2 71571 196 6
10 69484 183 38
211 66365 184 1650
1 65967 182 3
1 65954 182 3
2 68477 188 6
2 68612 195 8
10 67918 183 32
1 66064 180 3
8 66184 180 73
1 66116 182 7
2 66177 182 3
1 65760 178 3
0 66236 178 4
10 66562 199 86
21 67643 188 86
1 66166 180 3
23 66251 175 235
7 65764 176 51
22 66125 177 114
1 65895 178 4
5 65820 176 19
12 72304 196 53
32 72134 187 144
1857 68922 177 13476
65 69071 177 512
1 67375 173 4
6 66299 176 21
1 74318 187 5
24 71716 185 173
1 67559 167 3
1 66302 172 3
24 65754 173 149
3056 65900 166 20081
1 69966 171 4
26 67855 169 122
39 72323 177 197
1144 66746 165 8051
71 66664 163 488
3806 66625 160 24388
1042 67521 164 7300
262 70554 175 3083
2261 76102 164 15221
1069 70076 161 6960
14 69717 166 47
6 74433 166 13
1 75730 170 5
70 75963 177 213
108 80104 163 320
1 78503 183 5
10 76303 167 30
15 77429 162 41
8 72622 164 12
18 78125 172 54
2 73334 166 6
1 80418 166 6
2 75140 163 5
2 73348 165 4
2 71635 164 7
1 69992 169 6
2 67859 154 4
1 67483 156 4
1 66408 152 3
17 68658 157 83
1 67446 163 4
1 69297 162 4
2 69497 171 5
2 75255 163 5
2 76743 173 5
3 75255 155 5
1 70247 154 5
25 67814 153 137
1 66330 151 3
1 66221 149 4
1 66188 152 3
1 68599 160 5
3 68156 193 6
2 73707 168 9
3 73753 165 15
4 77034 172 7
2 74349 158 5
2 67928 169 10
2 73778 163 5
32 85439 204 426
2 70669 154 7
1 66868 153 4
1 66221 151 3
1 66551 151 4
6 66681 157 26
0 67711 156 4
49 68911 165 408
1 71154 199 7
3 72176 163 6
17 71114 175 121
1 68837 156 5
20 67666 157 159
0 67874 160 6
1 72200 160 7
2 68727 152 6
1 66887 151 3
6 66597 150 38
1 66533 150 3
1 66349 151 4
7 71264 154 36
3 68272 155 4
765 72335 181 7734
1 77105 159 5
12 75681 172 122
25 68848 152 188
12 67010 151 84
45 66646 162 456
166 72999 164 1185
2 71572 161 20
2 83044 163 9
3 83965 160 6
2 85186 162 7
2 152481 739 107
63 295807 733 421
21 166465 800 43
62 274642 245 12
9 122938 167 10
2 102741 182 6
4 99092 158 5
28 91082 180 8
2 87819 179 7
3 84618 159 10
3 85264 151 7
2 67684 146 4
1 69240 160 6
2 75050 154 4
2 67796 146 3
1 66324 142 5
1 66282 143 3
1 67907 144 6
1 66447 143 3
31 67285 144 234
1 66579 145 3
1 71918 152 4
3 66930 146 3
1 65897 144 3
1 66250 144 3
3 69571 155 7
1 79682 166 5
35 94706 168 157
2 69410 160 5
1 69792 154 5
1 69218 153 4
1 70151 156 5
2 75632 154 4
2 71695 156 5
1 87915 717 9
6 116343 180 14
213 80340 163 1728
9 71817 159 37
6 69950 154 42
12 87203 160 71
13 84791 149 191
37 67769 147 236
1 66085 141 4
2 66253 142 3
1 66638 154 4
1 73103 151 5
15 69491 158 43
19 72805 156 64
36 75553 154 193
27 77785 153 122
71 76900 149 525
22 67957 143 258
30 71721 160 469
2579 74748 155 15535
28 69484 150 227
2 69698 143 9
2 66292 142 4
10 66120 141 47
1 67689 140 5
1 67951 148 4
1 69817 150 6
2 71525 145 4
2 76921 150 6
20 77004 155 87
2 68184 143 4
1 66569 140 4
2 70911 158 5
2 71167 150 7
5 69861 150 4
2 73485 156 6
2 72020 145 5
2 68038 141 3
2 66498 146 3
1 66392 142 7
1 66143 142 4
1 68507 143 5
1 66942 141 4
135 66452 139 1152
1 66302 147 5
7 69055 153 44
1 69566 148 4
2 73256 149 8
159 70818 149 891
2 77732 151 9
2 76121 153 6
3 67448 142 4
176 66235 141 1164
1 66802 143 4
1 68041 149 4
2 67229 140 4
22 70960 148 290
3 76704 232 9
4 77076 156 7
161 76925 144 809
2 71683 147 5
202 73557 146 1310
26 68695 142 306
5 76494 146 5
844 66577 139 4989
49 70632 137 400
5 66560 136 20
1 71268 139 5
34 66449 134 188
10 66248 131 30
1 70851 151 6
2 71757 141 7
2 70545 153 6
2 70512 150 5
1 72839 150 8
1 92262 316 10
6 84668 151 11
10 73419 138 49
147 73914 145 1071
18 67142 134 119
11 71688 201 183
36 72231 140 6
75 75301 161 761
1 81284 150 11
4 79410 398 15
6 83249 148 5
1 75520 148 7
4 84924 148 7
1 94631 143 5
39 69856 143 201
12 76324 135 66
1 68578 138 6
1 67019 134 7
1 67848 140 9
35 68360 149 173
47 71723 140 312
34 73523 154 494
323 70835 139 2080
9 76673 136 67
260 70531 134 1681
