RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1185 183 376 2367 40956 219 8697
1179 182 373 2365 40863 240 8795
1190 256 375 2393 41932 221 9639
1182 183 372 2385 40651 230 8736
1206 187 378 2392 40926 220 8704
1190 187 369 2384 40550 228 8587
1181 184 376 2394 40713 226 8709
1185 184 373 2383 41047 250 8681
1209 187 375 2413 42425 270 10392
1227 189 386 2578 41863 238 9047
1189 307 372 2399 40579 236 8776
1191 187 373 2395 40564 222 8562
1182 183 374 2395 40787 220 8683
1186 184 373 2400 40637 222 8678
1194 182 375 2413 40904 221 8706
1184 185 378 2415 40647 248 8636
1194 310 375 2407 40930 221 8631
1308 184 378 2428 41016 221 8650
1184 181 377 2418 40714 227 8900
1190 209 393 2415 40905 230 8641
1175 304 377 2439 40858 247 9028
1285 203 387 2589 43721 283 10340
1294 206 430 2684 45533 282 10131
1289 300 418 2561 43106 261 9730
1249 191 406 2482 41416 237 9177
1192 203 394 2441 40640 222 8700
1182 192 379 2429 40507 242 9291
1222 188 387 2616 41622 257 9113
1188 187 380 2453 40725 225 8723
1210 185 380 2595 41310 243 8859
1214 187 391 2453 40911 224 8794
1192 202 380 2453 40687 223 8767
1189 183 382 2443 40566 223 8666
1190 186 383 2440 41108 224 9166
1186 311 378 2458 40742 233 8647
1183 184 383 2456 40905 224 8594
1184 183 382 2464 40718 226 8604
1195 184 384 2471 40780 225 8620
1192 183 385 2460 41052 224 8600
1187 184 387 2469 40554 226 8592
1201 181 381 2460 41094 229 8644
1203 194 384 2464 40927 227 8563
1194 187 387 2482 40570 225 8637
1197 184 388 2477 41215 225 8608
1183 184 388 2486 42377 255 9001
1192 183 386 2471 40841 232 8764
1186 193 386 2468 40489 227 8680
1187 184 389 2471 40757 239 9080
1224 187 408 2591 44867 271 9949
1234 190 401 2502 41508 231 9004
1190 206 387 2471 40841 226 8794
1191 185 392 2477 40463 232 8724
1194 193 387 2492 40710 237 9481
1219 184 387 2502 41499 260 9293
1212 186 408 2563 41948 228 12330
1205 183 389 2574 44100 434 14532
1421 223 420 2689 44921 264 9952
1304 186 398 2497 43626 267 10160
1300 210 440 2747 43341 232 10661
1186 187 392 2518 45003 286 10707
1327 210 450 2788 44494 276 9831
1354 347 430 2803 49097 268 10428
1236 188 393 2581 45034 270 10547
1283 187 429 2825 43187 291 10508
1284 199 418 2765 44517 321 11341
1286 199 424 2778 47048 297 11816
1700 429 559 2640 46263 344 11227
1466 203 418 2744 48127 272 11904
1250 200 424 2794 46887 300 10773
1309 198 411 2851 47461 290 12144
1425 261 563 2941 45917 284 11126
1317 216 441 2774 45877 258 10430
1222 192 393 2664 46738 290 10838
1334 194 408 2696 47928 295 11048
1245 198 407 2684 45181 281 10396
1271 191 412 2865 46968 305 11158
1270 342 441 2733 46259 293 11250
1331 205 454 2875 47824 290 10745
1321 221 422 2968 47651 294 12258
1257 194 425 2669 44804 275 11657
1340 221 486 2709 1047478686 554 21559
2142 238 492 3615 64275 327 11495
1474 282 472 2952 57685 328 13639
1367 203 705 2872 46999 293 13169
1387 331 453 2862 46533 278 10736
1286 201 454 2839 49420 305 10723
1263 195 416 2674 46159 297 12904
1292 201 432 2769 45087 276 10983
1274 320 429 2745 45518 275 11041
1229 179 412 2686 45194 251 10747
1250 317 415 2784 45229 293 10955
1165 310 412 2647 47473 277 12115
1262 197 412 2591 44255 249 10342
1227 180 391 2598 45942 306 11318
1349 203 433 2821 44921 287 10906
1241 202 413 2810 46219 266 10906
1188 194 418 2873 44530 291 10929
1277 203 426 2773 43599 300 10612
1361 224 474 2847 42689 260 9900
1290 252 410 2555 44849 299 11228
1300 240 455 3040 43984 296 10556
1319 208 587 2801 44426 309 12473
1269 240 420 2827 45155 290 11291
1281 199 430 2800 44384 298 11008
1358 202 394 2766 42296 241 9660
1217 206 407 2686 41411 294 10222
