RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1232 194 339 2238 29840 50408 9720
1244 193 345 2222 29686 50272 9571
1237 198 341 2226 29848 50522 9702
1230 190 342 2234 29814 50351 9608
1231 193 344 2224 29921 50591 9818
1226 193 340 2242 29681 50589 9542
1254 193 367 2271 30017 50787 9958
1235 192 346 2299 30049 50526 9780
1221 191 342 2318 29718 51381 9829
1238 199 344 2277 30590 51171 10062
1240 191 345 2257 31357 51078 10754
1231 193 364 2272 30564 51326 9870
1223 192 343 2255 29803 51616 9598
1230 192 378 2279 30788 50212 10666
1227 194 346 2280 29839 50514 9596
1231 205 347 2288 29924 50261 9777
1222 191 345 2318 29729 50400 9556
1233 206 344 2299 29780 50255 9559
1224 318 364 2311 29686 50651 9464
1251 201 346 2442 30391 50300 9991
1232 211 347 2328 30061 50871 9743
1236 193 371 2317 29890 50244 9767
1244 208 353 2338 29837 50441 9709
1244 191 369 2348 29926 50193 9601
1235 193 375 2361 29829 50372 9637
1239 219 349 2360 29734 50133 9701
1240 195 363 2356 29790 50230 9708
1242 210 353 2404 29947 49970 9685
1238 191 372 2320 30042 50240 9752
1229 203 351 2415 33310 49915 10117
1247 196 348 2380 30104 50283 9617
1231 220 352 2441 30111 49861 9885
1245 193 352 2346 30030 50091 9885
1231 212 352 2447 29862 49913 9687
1403 192 420 2415 30159 49855 9978
1236 204 351 2427 30141 49542 9982
1238 231 357 2356 29752 49665 9788
1244 287 370 2386 29805 49309 9645
1233 346 357 2369 29773 49529 9609
1241 191 376 2449 30459 49820 10326
1245 204 362 2391 30729 50624 10301
1269 194 398 2483 30488 49114 10125
1247 193 366 2372 30419 49427 12054
1255 198 354 2433 30444 49701 13844
1241 200 358 2379 30359 48995 10064
1249 217 358 2380 30227 48589 9962
1246 192 362 2465 29877 48772 9708
1241 194 357 2383 29930 48433 9835
1388 195 427 2400 30026 48549 9791
1232 199 360 2466 29979 48570 9913
1242 197 362 2397 30186 48337 9963
1393 194 427 2497 29893 47959 9777
1239 200 362 2532 29971 48132 9828
1242 235 361 2513 30078 48690 9896
1305 195 367 2469 30631 47913 10111
1244 263 360 2455 29895 47482 9698
1253 215 363 2620 30029 47824 17078
1243 230 363 2602 30214 47318 9917
1263 191 419 2563 30197 47817 9791
1235 221 362 2592 31583 47400 14805
1255 195 362 2567 36575 49960 10403
1237 195 393 2455 30678 46912 10149
1241 375 372 2601 30486 46818 10038
1238 246 360 2766 29933 46566 9888
