RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
28 31 31 25 129 29 56
24 64 32 27 129 29 61
25 56 29 25 129 29 55
22 87 29 25 114 27 43
23 110 29 25 114 27 62
21 60 29 22 114 27 60
20 45 27 22 114 27 59
24 59 29 23 114 27 52
23 84 29 25 114 27 59
23 57 27 29 114 27 44
22 69 29 23 113 27 55
28 34 29 19 113 27 63
23 53 27 22 113 27 61
26 36 23 23 113 23 62
19 64 27 24 113 23 61
21 52 27 23 113 23 46
20 44 27 24 113 23 52
20 61 30 21 113 23 56
20 52 30 21 113 23 48
17 40 23 23 113 23 53
25 49 26 22 113 23 56
20 55 30 20 113 23 49
18 38 30 20 113 23 59
20 45 30 22 113 23 52
21 37 26 20 99 25 52
18 56 26 18 99 24 39
21 102 26 21 99 24 62
21 112 24 21 99 24 54
17 23 26 19 99 24 61
20 31 26 20 99 24 55
21 27 26 23 99 24 51
19 42 26 20 99 23 54
18 31 24 17 99 23 61
18 51 26 20 99 23 50
21 51 23 19 99 23 53
19 31 26 19 99 23 51
19 41 24 20 99 23 45
17 39 26 17 99 23 42
18 35 26 19 99 23 47
20 30 23 20 99 23 54
21 29 26 23 99 23 50
18 51 26 22 98 23 50
18 52 26 22 98 23 61
22 34 26 18 98 23 49
20 48 26 18 98 23 50
18 46 24 17 98 23 54
19 32 26 21 98 23 52
21 46 23 19 98 23 53
18 21 26 19 98 23 58
17 57 26 21 98 23 63
18 49 25 19 98 23 61
18 42 24 17 98 23 40
18 43 26 22 98 23 55
18 37 26 21 98 23 50
17 63 23 21 98 23 50
18 33 26 18 98 23 56
19 43 23 18 98 23 61
17 51 26 22 98 23 48
17 50 26 17 98 23 57
17 50 26 22 98 23 56
17 37 23 21 98 23 54
20 50 26 19 98 23 42
20 41 23 20 98 23 53
21 43 23 23 98 23 61
18 52 23 20 98 23 61
19 48 26 20 98 23 41
18 39 26 16 98 23 58
20 50 26 19 98 23 48
19 95 26 17 98 23 51
20 47 26 18 98 23 51
18 48 23 19 98 23 43
20 36 30 20 80 23 56
17 51 30 18 80 23 50
19 23 30 18 80 23 43
16 30 30 17 80 23 63
18 52 26 15 80 23 55
21 36 23 19 80 23 56
19 51 30 19 80 23 51
18 90 30 17 80 23 45
16 50 30 19 80 23 55
19 55 30 19 80 23 54
17 37 30 19 80 23 61
15 50 29 21 80 23 58
19 49 30 17 80 23 52
19 49 23 19 80 23 49
17 46 23 20 80 23 48
16 53 30 21 80 23 61
19 24 28 17 80 23 56
18 94 30 18 79 23 54
18 47 30 21 79 23 51
17 51 30 22 79 23 43
17 41 25 19 79 23 42
16 42 30 21 79 23 56
19 50 25 18 79 23 45
18 22 29 16 79 23 56
19 48 30 21 79 23 40
15 49 23 19 67 23 46
18 51 23 19 67 23 56
19 52 23 17 67 23 56
16 52 23 18 67 23 62
16 39 23 19 61 23 56
17 43 23 17 61 23 61
18 51 23 17 61 23 61
16 38 23 17 61 23 42
19 51 23 16 61 23 60
19 21 23 16 61 23 37
17 34 23 19 61 23 46
18 22 23 19 61 23 61
16 56 23 19 61 23 37
16 78 23 17 61 23 58
16 38 23 17 61 23 42
15 50 23 19 61 23 60
16 50 23 15 61 23 63
17 50 23 18 61 23 60
17 31 23 15 61 23 45
16 50 23 17 61 23 40
18 47 23 19 61 23 42
16 27 23 14 61 23 45
16 51 23 17 61 23 50
15 42 23 17 61 23 60
16 40 23 19 61 23 56
18 34 23 19 61 23 61
16 33 23 16 61 23 63
15 28 23 17 61 23 44
16 33 23 18 61 23 46
15 23 23 15 61 23 56
16 43 23 16 61 23 60
17 45 23 19 61 23 63
16 25 23 16 61 23 61
16 50 23 17 61 23 54
17 63 23 19 61 23 63
16 17 23 15 61 23 61
15 37 23 15 61 20 56
15 20 23 15 61 20 57
17 17 19 16 61 20 56
14 25 23 15 61 20 54
16 22 23 15 61 20 63
16 24 19 14 61 20 61
16 25 23 16 61 20 52
15 31 19 16 61 20 41
14 27 23 15 61 20 41
17 33 23 17 61 20 50
15 17 23 17 61 20 60
17 22 19 15 61 20 61
14 23 23 15 61 20 45
16 22 23 15 61 20 47
16 24 23 19 61 20 61
16 19 23 14 61 20 55
16 22 23 17 61 20 54
13 21 23 15 61 20 63
17 23 23 15 61 20 61
15 17 23 17 61 20 54
14 35 23 15 61 20 52
17 25 23 17 61 20 56
15 29 23 15 61 20 46
16 30 23 14 61 20 61
14 42 23 17 61 20 61
16 35 23 17 61 20 54
16 25 23 15 61 20 60
15 34 23 19 61 20 52
17 42 21 17 61 20 47
17 19 23 17 61 20 60
17 42 23 17 61 20 55
17 19 23 17 61 20 61
16 25 20 15 61 20 49
16 37 23 17 61 20 42
14 37 23 15 61 20 60
16 19 23 17 61 20 63
13 19 23 15 61 20 61
17 23 21 17 61 20 60
14 37 20 15 61 20 60
15 42 21 16 61 20 62
15 30 23 15 61 20 61
15 46 20 15 61 20 62
15 42 23 17 61 20 58
15 19 23 19 61 20 55
17 50 20 16 61 20 41
15 39 20 15 61 20 63
16 36 21 17 61 20 59
15 18 23 17 61 20 63
16 21 23 17 61 20 56
17 42 21 15 61 20 42
14 22 20 17 61 20 63
16 22 23 18 61 20 56
16 25 23 17 61 20 56
15 23 20 16 61 20 44
14 17 21 15 61 20 47
15 21 20 16 61 20 61
15 16 21 18 61 20 46
15 33 21 15 61 20 54
14 19 20 17 61 20 54
15 22 22 15 61 20 44
15 38 22 17 61 20 61
17 44 22 15 61 20 42
15 33 21 15 61 20 60
14 14 22 15 61 20 61
17 24 22 16 61 20 60
15 25 20 17 61 20 61
15 25 20 15 61 20 60
16 43 20 17 61 20 50
15 39 21 17 61 20 59
15 23 20 16 61 20 61
17 18 22 15 61 20 59
14 27 20 15 61 20 63
15 21 22 14 61 20 42
16 42 20 17 61 20 62
16 20 20 13 61 20 62
16 19 22 16 61 20 46
16 42 20 17 61 20 57
16 42 21 15 61 20 61
15 19 22 14 61 20 42
15 39 22 16 61 20 60
15 40 22 17 61 20 44
15 16 22 15 61 20 41
15 20 20 15 61 20 38
16 16 20 17 61 20 47
15 36 22 15 61 20 63
15 19 20 15 61 20 61
16 41 22 15 61 20 59
15 17 20 15 61 20 41
15 32 22 19 61 20 37
15 32 22 15 61 20 56
15 19 20 17 61 20 43
17 21 20 16 61 20 61
