RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1256 269 283 2322 46888 33261 9430
1167 268 299 2491 57038 33878 18264
1107 290 298 2280 44444 33015 9577
1046 263 312 2261 46905 33715 11475
1096 279 315 2321 45685 33826 10265
1349 252 315 2258 43869 33878 8743
1122 304 318 2262 43002 33953 8030
1121 252 316 2255 44045 37907 9662
1161 296 318 2246 44029 33048 8388
1132 338 314 2386 43911 34491 8291
1173 388 319 2349 43515 34791 8264
1201 279 319 2256 44394 35064 9419
1098 272 327 2300 44058 36547 9047
1139 317 324 2307 43072 34375 8038
1074 241 338 2403 42994 35229 8072
1061 330 326 2374 44430 34962 9356
1171 298 326 2345 43266 35243 8187
1078 345 327 2346 43786 35324 8758
1192 244 333 2440 47162 35665 12036
1316 282 333 2507 44207 36201 8976
1111 294 354 3954 44445 35316 8448
1173 237 330 2341 48880 48931 13155
1873 346 508 2684 48538 35934 8910
1298 267 332 2357 44301 39995 8833
1106 305 331 2369 45978 37259 10925
1114 292 334 2349 46354 44671 8897
1107 379 329 2575 44666 38064 8421
1144 346 332 2325 43634 38122 8416
1040 317 334 2309 43303 38661 8076
1075 268 336 2375 44540 41477 8574
1073 358 333 2416 43589 37988 8219
1126 266 334 2342 46739 40730 12145
1107 261 331 2394 43569 42187 8608
1126 235 333 2387 46813 38423 10454
1093 334 329 2360 45707 38977 10696
1169 320 334 2287 43588 42682 8355
1115 250 336 2318 43148 38293 8050
1044 255 332 2353 43671 41081 8490
1114 328 337 2389 44662 38526 8209
1065 299 333 2385 43281 40722 8155
1085 306 333 2361 43603 38846 8385
1117 279 339 2332 44999 38710 9975
1085 328 337 2353 43127 42218 7971
1059 352 342 2321 46636 46728 11302
1177 241 351 2440 44710 40183 8595
1107 292 516 2388 43491 63437 8130
1117 329 345 2465 48406 46345 11196
1370 287 341 2543 45679 45895 9525
1128 293 352 2360 47643 54910 10765
2036 273 351 3283 63533 49686 9229
1149 279 482 2427 55750 52475 9265
1226 304 351 2852 45966 46706 10909
1092 300 346 2465 44001 40088 8169
1147 360 350 2330 43499 46116 8168
1144 341 361 2483 47253 46958 9168
1134 260 352 2382 44152 47557 8519
1184 472 355 2364 50650 44736 8267
1118 280 350 2371 43286 47443 8051
1393 243 362 2404 50983 46316 9694
1138 350 355 2471 44930 45809 9213
1137 364 353 2356 48783 47721 8524
1323 307 357 2340 48191 52683 10325
1095 407 355 2352 44688 48543 8167
1366 232 379 2540 44067 46860 8533
1119 326 359 2436 44162 46814 8445
1182 274 364 2446 45463 47134 9528
1308 272 366 2428 49565 61343 10580
1519 286 376 2981 53220 48633 11761
1072 355 377 2462 44470 46531 8337
1125 294 508 3140 49692 48288 8502
1385 301 375 2597 51720 55623 8889
1240 312 375 2393 43953 49777 8440
1169 312 409 2431 43786 53017 8351
1493 270 371 2469 46282 49859 9802
1304 249 374 2410 43439 52908 8268
1175 237 369 2396 44263 64237 9525
1372 436 425 3349 62528 77137 12403
1767 521 383 2496 51803 52906 8946
1303 324 375 2400 45336 55551 8611
1498 308 462 2366 44764 54269 8512
1322 321 376 2517 47281 56840 8405
1362 324 376 2432 45038 52328 8977
1432 312 373 2442 44494 55291 8662
1179 302 373 2435 44852 57323 8539
1248 360 416 3673 45763 53694 8837
1132 294 374 2441 45297 52186 8476
1104 255 375 2546 43365 52651 8201
1391 356 383 2415 43491 52930 8417
1285 302 384 2514 44544 53241 8398
1320 248 389 2449 49312 55094 9961
1345 342 396 2537 46331 55120 10059
1436 252 414 2475 46324 63415 10450
1339 404 379 2640 45687 52973 8708
1106 237 380 2493 43771 57280 8670
1130 308 378 2503 43881 53604 8855
1398 264 374 2468 43607 58029 8445
1103 316 377 2533 43677 53710 8377
1359 331 375 2453 43768 66080 8541
2845 576 683 5070 112436 55896 11955
1108 264 396 2538 49243 111033 8694
1738 487 619 3663 50158 67716 9535
1489 756 486 2641 55941 63784 11778
1298 287 389 2575 47228 53805 10457
1086 287 390 2539 45475 62506 8758
1343 289 387 2517 44390 52958 8955
